id,time
ac80ee036765,7.002583980560303
a477a72c448b,2.473290205001831
ac80ee036765,0.5211305618286133
a477a72c448b,0.1764075756072998
ac80ee036765,0.5330886840820312
a477a72c448b,0.17760705947875977
ac80ee036765,0.5269615650177002
a477a72c448b,0.18168950080871582
ac80ee036765,0.5299980640411377
a477a72c448b,0.1897752285003662
ac80ee036765,0.5523836612701416
a477a72c448b,0.17686843872070312
ac80ee036765,0.5349729061126709
a477a72c448b,0.19019627571105957
ac80ee036765,0.5295314788818359
a477a72c448b,0.18293023109436035
ac80ee036765,0.5673446655273438
a477a72c448b,0.18794822692871094
ac80ee036765,0.5963337421417236
a477a72c448b,0.18661999702453613
ac80ee036765,0.599592924118042
a477a72c448b,0.17444992065429688
851a3b4d30bd,0.5949263572692871
